coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,message,rain,snow
"{'lon': 167.69, 'lat': -46.13}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 290.93, 'pressure': 997, 'humidity': 55, 'temp_min': 290.93, 'temp_max': 290.93}",,"{'speed': 4.47, 'deg': 344, 'gust': 8.49}",{'all': 85},1572095317.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1572111274, 'sunset': 1572161494}",46800.0,2180815.0,Tuatapere,200,,,
"{'lon': -86.95, 'lat': 49.72}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 278.15, 'pressure': 1010, 'humidity': 80, 'temp_min': 278.15, 'temp_max': 278.15}",24140.0,"{'speed': 2.6, 'deg': 160}",{'all': 75},1572095317.0,"{'type': 1, 'id': 810, 'country': 'CA', 'sunrise': 1572092789, 'sunset': 1572129409}",-14400.0,5960603.0,Geraldton,200,,,
"{'lon': 125.41, 'lat': -8.93}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 291.61, 'pressure': 1011, 'humidity': 82, 'temp_min': 291.61, 'temp_max': 291.61, 'sea_level': 1011, 'grnd_level': 906}",,"{'speed': 1.15, 'deg': 40}",{'all': 49},1572095317.0,"{'country': 'TL', 'sunrise': 1572037862, 'sunset': 1572082411}",32400.0,1651810.0,Airai,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': 64.91, 'lat': 36.41}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 294.15, 'pressure': 1019, 'humidity': 13, 'temp_min': 294.15, 'temp_max': 294.15, 'sea_level': 1019, 'grnd_level': 966}",,"{'speed': 2.16, 'deg': 18}",{'all': 93},1572095317.0,"{'country': 'AF', 'sunrise': 1572055016, 'sunset': 1572094295}",16200.0,1142226.0,Dawlatabad,200,,,
"{'lon': -52.33, 'lat': 4.94}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 304.15, 'pressure': 1014, 'humidity': 62, 'temp_min': 304.15, 'temp_max': 304.15}",10000.0,"{'speed': 3.6, 'deg': 70}",{'all': 40},1572095317.0,"{'type': 1, 'id': 8669, 'country': 'GF', 'sunrise': 1572081247, 'sunset': 1572124335}",-10800.0,3382160.0,Cayenne,200,,,
"{'lon': 73.38, 'lat': 5.77}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 301.47, 'pressure': 1008, 'humidity': 74, 'temp_min': 301.47, 'temp_max': 301.47, 'sea_level': 1008, 'grnd_level': 1008}",,"{'speed': 4.1, 'deg': 222}",{'all': 0},1572095317.0,"{'country': 'MV', 'sunrise': 1572051120, 'sunset': 1572094125}",18000.0,1337618.0,Manadhoo,200,,,
"{'lon': -109.91, 'lat': 22.89}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 292.78, 'pressure': 1012, 'humidity': 77, 'temp_min': 291.15, 'temp_max': 296.48}",19312.0,"{'speed': 3.1, 'deg': 280}",{'all': 5},1572095318.0,"{'type': 1, 'id': 7165, 'country': 'MX', 'sunrise': 1572096070, 'sunset': 1572137148}",-21600.0,3985710.0,Cabo San Lucas,200,,,
"{'lon': -159.32, 'lat': 22.08}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 297.6, 'pressure': 1015, 'humidity': 74, 'temp_min': 296.15, 'temp_max': 300.15}",16093.0,"{'speed': 4.1, 'deg': 90}",{'all': 75},1572095318.0,"{'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1572107883, 'sunset': 1572149050}",-36000.0,5848280.0,Kapaa,200,,,
"{'lon': 147.33, 'lat': -42.88}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 281.24, 'pressure': 1002, 'humidity': 61, 'temp_min': 280.93, 'temp_max': 281.48}",10000.0,"{'speed': 3.6, 'deg': 300}",{'all': 75},1572095318.0,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1572116523, 'sunset': 1572166017}",39600.0,2163355.0,Hobart,200,,{},
"{'lon': 14.13, 'lat': 57.79}","[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",stations,"{'temp': 283.18, 'pressure': 1002, 'humidity': 93, 'temp_min': 282.15, 'temp_max': 283.71}",10000.0,"{'speed': 5.7, 'deg': 250}",{'all': 100},1572095318.0,"{'type': 1, 'id': 1749, 'country': 'SE', 'sunrise': 1572069707, 'sunset': 1572103976}",7200.0,2702977.0,Dalvik,200,,,
"{'lon': 39.83, 'lat': 21.43}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",model,"{'temp': 307.12, 'pressure': 1009, 'humidity': 22, 'temp_min': 307.12, 'temp_max': 307.12, 'sea_level': 1009, 'grnd_level': 952}",,"{'speed': 5.75, 'deg': 227}",{'all': 17},1572095318.0,"{'country': 'SA', 'sunrise': 1572060033, 'sunset': 1572101315}",10800.0,104515.0,Mecca,200,,,
"{'lon': 77.95, 'lat': 29.29}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 297.64, 'pressure': 1012, 'humidity': 53, 'temp_min': 297.64, 'temp_max': 297.64, 'sea_level': 1012, 'grnd_level': 984}",,"{'speed': 1.98, 'deg': 20}",{'all': 0},1572095318.0,"{'country': 'IN', 'sunrise': 1572051372, 'sunset': 1572091680}",19800.0,1263022.0,Miranpur,200,,,
"{'lon': -56.83, 'lat': -26.98}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 296.97, 'pressure': 1012, 'humidity': 55, 'temp_min': 296.97, 'temp_max': 296.97, 'sea_level': 1012, 'grnd_level': 999}",,"{'speed': 3.35, 'deg': 70}",{'all': 0},1572095318.0,"{'country': 'PY', 'sunrise': 1572080499, 'sunset': 1572127243}",-10800.0,3437029.0,San Patricio,200,,,
"{'lon': -117.57, 'lat': 53.4}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 269.87, 'pressure': 1029, 'humidity': 93, 'temp_min': 269.87, 'temp_max': 269.87, 'sea_level': 1029, 'grnd_level': 879}",,"{'speed': 4.95, 'deg': 323}",{'all': 97},1572095319.0,"{'country': 'CA', 'sunrise': 1572100642, 'sunset': 1572136253}",-21600.0,5975503.0,Hinton,200,,,{'3h': 0.38}
"{'lon': -156.47, 'lat': 20.89}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 295.57, 'pressure': 1014, 'humidity': 83, 'temp_min': 294.82, 'temp_max': 296.48}",16093.0,"{'speed': 2.1, 'deg': 160}",{'all': 1},1572095319.0,"{'type': 1, 'id': 7879, 'country': 'US', 'sunrise': 1572107128, 'sunset': 1572148438}",-36000.0,5847411.0,Kahului,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': -120.46, 'lat': 34.64}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 284.58, 'pressure': 1012, 'humidity': 56, 'temp_min': 280.15, 'temp_max': 288.15}",16093.0,"{'speed': 1.5, 'deg': 80}",{'all': 1},1572095319.0,"{'type': 1, 'id': 4558, 'country': 'US', 'sunrise': 1572099397, 'sunset': 1572138885}",-25200.0,5367788.0,Lompoc,200,,,
"{'lon': 88.52, 'lat': 28.28}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 273.93, 'pressure': 1016, 'humidity': 38, 'temp_min': 273.93, 'temp_max': 273.93, 'sea_level': 1016, 'grnd_level': 569}",,"{'speed': 5.11, 'deg': 195}",{'all': 6},1572095319.0,"{'country': 'CN', 'sunrise': 1572048767, 'sunset': 1572089211}",28800.0,1281256.0,Gamba,200,,,
"{'lon': 131.85, 'lat': 34.68}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 291.17, 'pressure': 1014, 'humidity': 72, 'temp_min': 289.82, 'temp_max': 292.15}",10000.0,"{'speed': 0.36, 'deg': 356}",{'all': 75},1572095319.0,"{'type': 1, 'id': 8029, 'country': 'JP', 'sunrise': 1572038808, 'sunset': 1572078374}",32400.0,1857594.0,Masuda,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': 43.97, 'lat': 26.33}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 305.15, 'pressure': 1010, 'humidity': 49, 'temp_min': 305.15, 'temp_max': 305.15}",7000.0,"{'speed': 2.6, 'deg': 200}",{'all': 75},1572095320.0,"{'type': 1, 'id': 7411, 'country': 'SA', 'sunrise': 1572059338, 'sunset': 1572100023}",10800.0,107304.0,Buraydah,200,,,
"{'lon': 72.93, 'lat': 0.53}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 301.03, 'pressure': 1008, 'humidity': 77, 'temp_min': 301.03, 'temp_max': 301.03, 'sea_level': 1008, 'grnd_level': 1008}",,"{'speed': 3.97, 'deg': 148}",{'all': 58},1572095320.0,"{'country': 'MV', 'sunrise': 1572050954, 'sunset': 1572094507}",18000.0,1337610.0,Thinadhoo,200,,,
,,,,,,,,,,,,404,city not found,,
,,,,,,,,,,,,404,city not found,,
"{'lon': -35.46, 'lat': -5.2}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 301.15, 'pressure': 1015, 'humidity': 69, 'temp_min': 301.15, 'temp_max': 301.15}",10000.0,"{'speed': 6.7, 'deg': 160}",{'all': 75},1572095320.0,"{'type': 1, 'id': 8452, 'country': 'BR', 'sunrise': 1572076663, 'sunset': 1572120822}",-10800.0,3386213.0,Touros,200,,,
"{'lon': -114.4, 'lat': 54.12}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 270.15, 'pressure': 1021, 'humidity': 86, 'temp_min': 270.15, 'temp_max': 270.15}",9656.0,"{'speed': 5.7, 'deg': 350, 'gust': 8.7}",{'all': 90},1572095320.0,"{'type': 1, 'id': 1053, 'country': 'CA', 'sunrise': 1572099988, 'sunset': 1572135386}",-21600.0,5894164.0,Barrhead,200,,,
"{'lon': 126.55, 'lat': 7.69}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 295.61, 'pressure': 1009, 'humidity': 90, 'temp_min': 295.61, 'temp_max': 295.61, 'sea_level': 1009, 'grnd_level': 966}",,"{'speed': 2.43, 'deg': 294}",{'all': 98},1572095321.0,"{'country': 'PH', 'sunrise': 1572038459, 'sunset': 1572081266}",28800.0,1708743.0,Kinablangan,200,,{'3h': 0.56},
"{'lon': -74.36, 'lat': 39.41}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 286.98, 'pressure': 1024, 'humidity': 87, 'temp_min': 284.82, 'temp_max': 289.26}",16093.0,"{'speed': 2.6, 'deg': 10}",{'all': 1},1572095321.0,"{'type': 1, 'id': 4907, 'country': 'US', 'sunrise': 1572088710, 'sunset': 1572127445}",-14400.0,4500920.0,Brigantine,200,,{},
"{'lon': -56.22, 'lat': -34.68}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 295.67, 'pressure': 1014, 'humidity': 43, 'temp_min': 295.15, 'temp_max': 296.15}",10000.0,"{'speed': 5.1, 'deg': 10}",{'all': 0},1572095321.0,"{'type': 1, 'id': 8687, 'country': 'UY', 'sunrise': 1572079774, 'sunset': 1572127675}",-10800.0,3440963.0,Progreso,200,,,
"{'lon': 120.72, 'lat': 14.29}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 301.53, 'pressure': 1011, 'humidity': 70, 'temp_min': 300.93, 'temp_max': 302.15}",10000.0,"{'speed': 2.6, 'deg': 120}",{'all': 20},1572095321.0,"{'type': 1, 'id': 8160, 'country': 'PH', 'sunrise': 1572040210, 'sunset': 1572082313}",28800.0,1682474.0,Ternate,200,,,
"{'lon': 108.8, 'lat': 15.12}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",model,"{'temp': 299.75, 'pressure': 1013, 'humidity': 82, 'temp_min': 299.75, 'temp_max': 299.75, 'sea_level': 1013, 'grnd_level': 1012}",,"{'speed': 3.31, 'deg': 48}",{'all': 27},1572095321.0,"{'country': 'VN', 'sunrise': 1572043117, 'sunset': 1572085128}",25200.0,1568770.0,Quang Ngai,200,,{'3h': 4.37},
"{'lon': 18.42, 'lat': -33.93}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 294.52, 'pressure': 1014, 'humidity': 35, 'temp_min': 293.71, 'temp_max': 295.37}",10000.0,"{'speed': 7.2, 'deg': 320}",{'all': 20},1572095321.0,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1572061935, 'sunset': 1572109689}",7200.0,3369157.0,Cape Town,200,,,
"{'lon': -52.73, 'lat': 47.66}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 279.35, 'pressure': 1013, 'humidity': 81, 'temp_min': 278.15, 'temp_max': 280.37}",24140.0,"{'speed': 5.7, 'deg': 300}",{'all': 75},1572095199.0,"{'type': 1, 'id': 998, 'country': 'CA', 'sunrise': 1572084324, 'sunset': 1572121450}",-9000.0,6167817.0,Torbay,200,,{},
"{'lon': -59.52, 'lat': 13.22}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,"{'temp': 303.15, 'pressure': 1014, 'humidity': 62, 'temp_min': 303.15, 'temp_max': 303.15}",10000.0,"{'speed': 5.1, 'deg': 100}",{'all': 40},1572095321.0,"{'type': 1, 'id': 8772, 'country': 'BB', 'sunrise': 1572083417, 'sunset': 1572125616}",-14400.0,3374083.0,Bathsheba,200,,,
"{'lon': -69.36, 'lat': 77.48}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 261.8, 'pressure': 1010, 'humidity': 85, 'temp_min': 261.8, 'temp_max': 261.8, 'sea_level': 1010, 'grnd_level': 972}",,"{'speed': 1.3, 'deg': 35}",{'all': 54},1572095322.0,"{'country': 'GL', 'sunrise': 1572101419, 'sunset': 1572112336}",-10800.0,3831208.0,Qaanaaq,200,,,
"{'lon': -65.72, 'lat': 66.15}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 274.47, 'pressure': 1006, 'humidity': 89, 'temp_min': 274.47, 'temp_max': 274.47, 'sea_level': 1006, 'grnd_level': 975}",,"{'speed': 4.4, 'deg': 46}",{'all': 100},1572095322.0,"{'country': 'CA', 'sunrise': 1572090989, 'sunset': 1572121019}",-14400.0,6096551.0,Pangnirtung,200,,{'3h': 0.25},
"{'lon': 25.33, 'lat': 43.97}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 294.26, 'pressure': 1028, 'humidity': 49, 'temp_min': 294.26, 'temp_max': 294.26}",,"{'speed': 1.79, 'deg': 23, 'gust': 2.24}",{'all': 0},1572094952.0,"{'type': 3, 'id': 2013364, 'country': 'RO', 'sunrise': 1572065183, 'sunset': 1572103125}",10800.0,686502.0,Alexandria,200,,,
"{'lon': 5.14, 'lat': 61.99}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 281.68, 'pressure': 998, 'humidity': 66, 'temp_min': 281.15, 'temp_max': 282.15}",,"{'speed': 9.8, 'deg': 160}",{'all': 85},1572095322.0,"{'type': 1, 'id': 1616, 'country': 'NO', 'sunrise': 1572072752, 'sunset': 1572105246}",7200.0,3146487.0,Raudeberg,200,,{'3h': 0.5},
"{'lon': -149.44, 'lat': 61.58}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 275.36, 'pressure': 1035, 'humidity': 69, 'temp_min': 273.71, 'temp_max': 277.15}",16093.0,"{'speed': 1.5, 'deg': 80}",{'all': 90},1572095322.0,"{'type': 1, 'id': 7827, 'country': 'US', 'sunrise': 1572109825, 'sunset': 1572142367}",-28800.0,5877641.0,Wasilla,200,,{},
"{'lon': 114.09, 'lat': 71.97}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 255.43, 'pressure': 1007, 'humidity': 95, 'temp_min': 255.43, 'temp_max': 255.43, 'sea_level': 1007, 'grnd_level': 996}",,"{'speed': 4.24, 'deg': 153}",{'all': 39},1572095322.0,"{'country': 'RU', 'sunrise': 1572050416, 'sunset': 1572075289}",32400.0,2017155.0,Saskylakh,200,,,
"{'lon': 24.73, 'lat': -34}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 291.65, 'pressure': 1012, 'humidity': 62, 'temp_min': 291.65, 'temp_max': 291.65, 'sea_level': 1012, 'grnd_level': 982}",,"{'speed': 5.79, 'deg': 199}",{'all': 65},1572095322.0,"{'country': 'ZA', 'sunrise': 1572060416, 'sunset': 1572108180}",7200.0,986717.0,Kruisfontein,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': -68.52, 'lat': 63.75}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,"{'temp': 273.15, 'pressure': 1008, 'humidity': 81, 'temp_min': 273.15, 'temp_max': 273.15}",40233.0,"{'speed': 1.5, 'deg': 240}",{'all': 75},1572095320.0,"{'type': 1, 'id': 797, 'country': 'CA', 'sunrise': 1572090924, 'sunset': 1572122429}",-14400.0,5983720.0,Iqaluit,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': -50.22, 'lat': -30.17}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 292.76, 'pressure': 1018, 'humidity': 82, 'temp_min': 292.76, 'temp_max': 292.76, 'sea_level': 1018, 'grnd_level': 1018}",,"{'speed': 8.64, 'deg': 37}",{'all': 0},1572095323.0,"{'country': 'BR', 'sunrise': 1572078686, 'sunset': 1572125883}",-10800.0,3466165.0,Cidreira,200,,,
"{'lon': -88.94, 'lat': 16.17}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 298.15, 'pressure': 1010, 'humidity': 94, 'temp_min': 298.15, 'temp_max': 298.15}",10000.0,"{'speed': 1.46, 'deg': 256}",{'all': 20},1572095323.0,"{'type': 1, 'id': 7081, 'country': 'BZ', 'sunrise': 1572090643, 'sunset': 1572132510}",-21600.0,3581398.0,Laguna,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': 123.43, 'lat': 9.52}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 302.15, 'pressure': 1009, 'humidity': 74, 'temp_min': 302.15, 'temp_max': 302.15}",10000.0,"{'speed': 4.1, 'deg': 320}",{'all': 40},1572095323.0,"{'type': 1, 'id': 8185, 'country': 'PH', 'sunrise': 1572039304, 'sunset': 1572081919}",28800.0,1696989.0,Oslob,200,,,
"{'lon': 100.36, 'lat': -0.92}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",model,"{'temp': 293.98, 'pressure': 1010, 'humidity': 98, 'temp_min': 293.98, 'temp_max': 293.98, 'sea_level': 1010, 'grnd_level': 935}",,"{'speed': 0.32, 'deg': 199}",{'all': 99},1572095323.0,"{'country': 'ID', 'sunrise': 1572044296, 'sunset': 1572088000}",25200.0,1633419.0,Padang,200,,{'3h': 4.06},
"{'lon': 147.9, 'lat': 70.62}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 248.95, 'pressure': 1018, 'humidity': 86, 'temp_min': 248.95, 'temp_max': 248.95, 'sea_level': 1018, 'grnd_level': 1017}",,"{'speed': 1.34, 'deg': 168}",{'all': 30},1572095323.0,"{'country': 'RU', 'sunrise': 1572128172, 'sunset': 1572154095}",39600.0,2126123.0,Chokurdakh,200,,,
"{'lon': -110.66, 'lat': 31.68}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 281.39, 'pressure': 1017, 'humidity': 41, 'temp_min': 274.26, 'temp_max': 286.48}",16093.0,"{'speed': 2.6, 'deg': 60}",{'all': 1},1572095323.0,"{'type': 1, 'id': 5198, 'country': 'US', 'sunrise': 1572096826, 'sunset': 1572136752}",-25200.0,5313135.0,Sonoita,200,,,
"{'lon': 178.42, 'lat': 69.38}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 263.84, 'pressure': 1027, 'humidity': 62, 'temp_min': 263.84, 'temp_max': 263.84, 'sea_level': 1027, 'grnd_level': 1025}",,"{'speed': 2.5, 'deg': 181}",{'all': 0},1572095324.0,"{'country': 'RU', 'sunrise': 1572120179, 'sunset': 1572147439}",43200.0,2123814.0,Leningradskiy,200,,,
"{'lon': -56.38, 'lat': -20.24}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 305.65, 'pressure': 1012, 'humidity': 46, 'temp_min': 305.65, 'temp_max': 305.65, 'sea_level': 1012, 'grnd_level': 999}",,"{'speed': 2.01, 'deg': 28}",{'all': 10},1572095324.0,"{'country': 'BR', 'sunrise': 1572080829, 'sunset': 1572126697}",-14400.0,3457113.0,Miranda,200,,,
"{'lon': -39.27, 'lat': -17.73}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 300.21, 'pressure': 1017, 'humidity': 74, 'temp_min': 300.21, 'temp_max': 300.21, 'sea_level': 1017, 'grnd_level': 1010}",,"{'speed': 3.98, 'deg': 14}",{'all': 86},1572095324.0,"{'country': 'BR', 'sunrise': 1572076876, 'sunset': 1572122437}",-10800.0,3466980.0,Caravelas,200,,{'3h': 0.25},
"{'lon': -8.45, 'lat': 37.14}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 295.37, 'pressure': 1018, 'humidity': 68, 'temp_min': 293.15, 'temp_max': 298.71}",10000.0,"{'speed': 6.2, 'deg': 90}",{'all': 0},1572095324.0,"{'type': 1, 'id': 6892, 'country': 'PT', 'sunrise': 1572072692, 'sunset': 1572111829}",3600.0,2267254.0,Lagoa,200,,,
"{'lon': 124.84, 'lat': 1.19}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 298.15, 'pressure': 1009, 'humidity': 94, 'temp_min': 298.15, 'temp_max': 298.15}",9000.0,"{'speed': 1.59, 'deg': 270}",{'all': 20},1572095324.0,"{'type': 1, 'id': 9356, 'country': 'ID', 'sunrise': 1572038531, 'sunset': 1572082015}",28800.0,1626229.0,Totolan,200,,,
"{'lon': 48.53, 'lat': 5.35}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 302.82, 'pressure': 1008, 'humidity': 62, 'temp_min': 302.82, 'temp_max': 302.82, 'sea_level': 1008, 'grnd_level': 1000}",,"{'speed': 5.09, 'deg': 134}",{'all': 23},1572095324.0,"{'country': 'SO', 'sunrise': 1572057062, 'sunset': 1572100110}",10800.0,57000.0,Hobyo,200,,{'3h': 0.38},
"{'lon': 14.99, 'lat': 42}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 294.21, 'pressure': 1021, 'humidity': 52, 'temp_min': 293.15, 'temp_max': 295.37}",,"{'speed': 0.89, 'deg': 90, 'gust': 2.68}",{'all': 40},1572095324.0,"{'type': 3, 'id': 103149, 'country': 'IT', 'sunrise': 1572067479, 'sunset': 1572105791}",7200.0,6541934.0,Termoli,200,,,
"{'lon': 9.18, 'lat': 48.78}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 292.59, 'pressure': 1019, 'humidity': 43, 'temp_min': 290.37, 'temp_max': 294.82}",10000.0,"{'speed': 1.5, 'deg': 150}",{'all': 32},1572095080.0,"{'type': 1, 'id': 1274, 'country': 'DE', 'sunrise': 1572069579, 'sunset': 1572106480}",7200.0,2825297.0,Stuttgart,200,,,
"{'lon': 49.38, 'lat': -18.17}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 302.15, 'pressure': 1012, 'humidity': 70, 'temp_min': 302.15, 'temp_max': 302.15}",10000.0,"{'speed': 2.6, 'deg': 40}",{'all': 20},1572095325.0,"{'type': 1, 'id': 2139, 'country': 'MG', 'sunrise': 1572055583, 'sunset': 1572101182}",10800.0,1053384.0,Toamasina,200,,,
"{'lon': -124.02, 'lat': 54.02}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 271.65, 'pressure': 1033, 'humidity': 89, 'temp_min': 271.65, 'temp_max': 271.65, 'sea_level': 1033, 'grnd_level': 941}",,"{'speed': 1.95, 'deg': 276}",{'all': 46},1572095325.0,"{'country': 'CA', 'sunrise': 1572102284, 'sunset': 1572137706}",-25200.0,6173361.0,Vanderhoof,200,,,
,,,,,,,,,,,,404,city not found,,
"{'lon': 21.55, 'lat': 29.03}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 301.87, 'pressure': 1016, 'humidity': 23, 'temp_min': 301.87, 'temp_max': 301.87, 'sea_level': 1016, 'grnd_level': 1009}",,"{'speed': 1.35, 'deg': 72}",{'all': 0},1572095326.0,"{'country': 'LY', 'sunrise': 1572064897, 'sunset': 1572105225}",7200.0,86049.0,Jalu,200,,,
"{'lon': 135.55, 'lat': 70}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 254.15, 'pressure': 1016, 'humidity': 93, 'temp_min': 254.15, 'temp_max': 254.15, 'sea_level': 1016, 'grnd_level': 992}",,"{'speed': 1.78, 'deg': 192}",{'all': 95},1572095326.0,"{'country': 'RU', 'sunrise': 1572044132, 'sunset': 1572071274}",36000.0,2013921.0,Ust-Kuyga,200,,,
"{'lon': 39.51, 'lat': 68.05}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 271.87, 'pressure': 993, 'humidity': 80, 'temp_min': 271.87, 'temp_max': 271.87, 'sea_level': 993, 'grnd_level': 976}",,"{'speed': 9.23, 'deg': 49}",{'all': 100},1572095326.0,"{'country': 'RU', 'sunrise': 1572066375, 'sunset': 1572095127}",10800.0,556268.0,Ostrovnoy,200,,,{'3h': 0.44}
